Country Name,ISO 2,ISO 3,ISO 2,Country Name,Name that should be used for Excel map charts,GNR Region,Income Group,LDC,SIDS,DAC Member,Dev Country,Fragility,2018 Population,FCAS,GNR Subregion,Resource-Rich,PRCR,CBLB,Poverty rate above 30%,Poverty rate below 2%
"Congo, Dem. Rep.",CD,COD,CD,"Congo, Dem. Rep.",Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
Cook Islands,CK,COK,CK,Cook Islands,,Oceania,,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,,,Polynesia,Non resource-rich,Non PRCR,0,,
Costa Rica,CR,CRI,CR,Costa Rica,Costa Rica,Latin America and the Caribbean,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,4999441,,Central America,Non resource-rich,Non PRCR,0,0,1
Côte d'Ivoire,CI,CIV,CI,Côte d'Ivoire,Ivory Coast,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25069229,,Western Africa,Resource-rich,PRCR,0,0,0
Cote d'Ivoire,CI,CIV,CI,Cote d'Ivoire,Ivory Coast,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25069229,,Western Africa,Resource-rich,PRCR,0,0,0
Côte-d'Ivoire,CI,CIV,CI,Côte-d'Ivoire,Ivory Coast,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25069229,,Western Africa,Resource-rich,PRCR,0,0,0
Ivory Coast,CI,CIV,CI,Ivory Coast,Ivory Coast,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25069229,,Western Africa,Resource-rich,PRCR,0,0,0
Croatia,HR,HRV,HR,Croatia,Croatia,Europe,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,4089400,,Southern Europe,Non resource-rich,Non PRCR,0,0,1
Cuba,CU,CUB,CU,Cuba,Cuba,Latin America and the Caribbean,UMIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,11338138,,Caribbean,Non resource-rich,Non PRCR,0,,
Curaçao,CW,CUW,CW,Curaçao,,Latin America and the Caribbean,HIC,Non LDC,SIDS,Non DAC,Not Developing,Not Fragile,159849,,Caribbean,Non resource-rich,Non PRCR,0,,
Curacao,CW,CUW,CW,Curacao,,Latin America and the Caribbean,HIC,Non LDC,SIDS,Non DAC,Not Developing,Not Fragile,159849,,Caribbean,Non resource-rich,Non PRCR,0,,
Cyprus,CY,CYP,CY,Cyprus,Cyprus,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,1189265,,Western Asia,Non resource-rich,Non PRCR,0,0,1
Czech Republic,CZ,CZE,CZ,Czech Republic,Czechia,Europe,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,10625695,FCAS,Eastern Europe,Non resource-rich,Non PRCR,0,0,1
Czechia,CZ,CZE,CZ,Czechia,Czechia,Europe,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,10625695,FCAS,Eastern Europe,Non resource-rich,Non PRCR,0,0,1
Denmark,DK,DNK,DK,Denmark,Denmark,Europe,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,5797446,,Northern Europe,Non resource-rich,Non PRCR,0,0,1
Djibouti,DJ,DJI,DJ,Djibouti,Djibouti,Africa,LMIC,LDC,Non SIDS,Non DAC,Developing Country,Fragile,958920,,Eastern Africa,Non resource-rich,PRCR,0,0,0
Dominica,DM,DMA,DM,Dominica,Dominica,Latin America and the Caribbean,UMIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,71625,,Caribbean,Non resource-rich,Non PRCR,0,,
Dominican Republic,DO,DOM,DO,Dominican Republic,Dominican Republic,Latin America and the Caribbean,UMIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,10627165,,Caribbean,Non resource-rich,Non PRCR,0,0,1
Ecuador,EC,ECU,EC,Ecuador,Ecuador,Latin America and the Caribbean,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,17084357,,South America,Non resource-rich,Non PRCR,0,0,0
Egypt,EG,EGY,EG,Egypt,Egypt,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,98423595,,Northern Africa,Non resource-rich,Non PRCR,0,0,1
"Egypt, Arab Republic of",EG,EGY,EG,"Egypt, Arab Republic of",Egypt,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,98423595,,Northern Africa,Non resource-rich,Non PRCR,0,0,1
"Egypt, Arab Rep.",EG,EGY,EG,"Egypt, Arab Rep.",Egypt,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,98423595,,Northern Africa,Non resource-rich,Non PRCR,0,0,1
El Salvador,SV,SLV,SV,El Salvador,El Salvador,Latin America and the Caribbean,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,6420744,,Central America,Non resource-rich,Non PRCR,0,0,1
Equatorial Guinea,GQ,GNQ,GQ,Equatorial Guinea,Equatorial Guinea,Africa,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,1308974,,Middle Africa,Resource-rich,Non PRCR,0,,
Eritrea,ER,ERI,ER,Eritrea,Eritrea,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,6047000,,Eastern Africa,Non resource-rich,PRCR,1,,
Estonia,EE,EST,EE,Estonia,Estonia,Europe,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,1320884,,Northern Europe,Non resource-rich,Non PRCR,0,0,1
Ethiopia,ET,ETH,ET,Ethiopia,Ethiopia,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,109224559,,Eastern Africa,Non resource-rich,Non PRCR,0,0,0
Falkland Islands (Malvinas),FK,FLK,FK,Falkland Islands (Malvinas),,Latin America and the Caribbean,,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,,,South America,Non resource-rich,Non PRCR,0,,
Faroe Islands,FO,FRO,FO,Faroe Islands,,Europe,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,48497,,Northern Europe,Non resource-rich,Non PRCR,0,,
Faeroe Islands,FO,FRO,FO,Faeroe Islands,,Europe,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,48497,,Northern Europe,Non resource-rich,Non PRCR,0,,
Fiji,FJ,FJI,FJ,Fiji,Fiji,Oceania,UMIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,883483,,Melanesia,Non resource-rich,Non PRCR,0,0,1
Fiji Islands,FJ,FJI,FJ,Fiji Islands,Fiji,Oceania,UMIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,883483,,Melanesia,Non resource-rich,Non PRCR,0,0,1
Finland,FI,FIN,FI,Finland,Finland,Europe,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,5518050,,Northern Europe,Non resource-rich,Non PRCR,0,0,1
France,FR,FRA,FR,France,France,Europe,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,66987244,,Western Europe,Non resource-rich,Non PRCR,0,0,1
French Guiana,GF,GUF,GF,French Guiana,,Latin America and the Caribbean,,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,,,South America,Non resource-rich,Non PRCR,0,,
French Polynesia,PF,PYF,PF,French Polynesia,,Oceania,HIC,Non LDC,SIDS,Non DAC,Not Developing,Not Fragile,277679,,Polynesia,Non resource-rich,Non PRCR,0,,
French Southern Territories,TF,ATF,TF,French Southern Territories,,Africa,,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,,,Eastern Africa,Non resource-rich,Non PRCR,0,,
Gabon,GA,GAB,GA,Gabon,Gabon,Africa,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,2119275,,Middle Africa,Resource-rich,Non PRCR,0,0,0
Gambia,GM,GMB,GM,Gambia,Gambia,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Fragile,2280102,,Western Africa,Non resource-rich,Non PRCR,1,0,0
The Gambia,GM,GMB,GM,The Gambia,Gambia,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Fragile,2280102,,Western Africa,Non resource-rich,Non PRCR,1,0,0
"Gambia, the",GM,GMB,GM,"Gambia, the",Gambia,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Fragile,2280102,,Western Africa,Non resource-rich,Non PRCR,1,0,0
Gambia (Republic of The),GM,GMB,GM,Gambia (Republic of The),Gambia,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Fragile,2280102,,Western Africa,Non resource-rich,Non PRCR,1,0,0
Georgia,GE,GEO,GE,Georgia,Georgia,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,3731000,,Western Asia,Non resource-rich,Non PRCR,0,0,0
Germany,DE,DEU,DE,Germany,Germany,Europe,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,82927922,FCAS,Western Europe,Non resource-rich,Non PRCR,0,0,1
Ghana,GH,GHA,GH,Ghana,Ghana,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,29767108,,Western Africa,Non resource-rich,Non PRCR,0,0,0
Gibraltar,GI,GIB,GI,Gibraltar,,Europe,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,33718,,Southern Europe,Non resource-rich,Non PRCR,0,,
Greece,GR,GRC,GR,Greece,Greece,Europe,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,10727668,,Southern Europe,Non resource-rich,Non PRCR,0,0,1
Greenland,GL,GRL,GL,Greenland,,N. America,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,56025,,Northern America,Non resource-rich,Non PRCR,0,,
Grenada,GD,GRD,GD,Grenada,Grenada,Latin America and the Caribbean,UMIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,111454,,Caribbean,Non resource-rich,Non PRCR,0,,
Guadeloupe,GP,GLP,GP,Guadeloupe,,Latin America and the Caribbean,,Non LDC,SIDS,Non DAC,Not Developing,Not Fragile,,,Caribbean,Non resource-rich,Non PRCR,0,,
Guam,GU,GUM,GU,Guam,,Oceania,HIC,Non LDC,SIDS,Non DAC,Not Developing,Not Fragile,165768,,Micronesia,Non resource-rich,Non PRCR,0,,
Guatemala,GT,GTM,GT,Guatemala,Guatemala,Latin America and the Caribbean,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,17247807,,Central America,Non resource-rich,Non PRCR,0,0,0
Guernsey,GG,GGY,GG,Guernsey,,Europe,,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,,,Northern Europe,Non resource-rich,Non PRCR,0,,
Guinea,GN,GIN,GN,Guinea,Guinea,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Fragile,12414318,,Western Africa,Resource-rich,PRCR,1,1,0
Guinea Conarky,GN,GIN,GN,Guinea Conarky,Guinea,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Fragile,12414318,,Western Africa,Resource-rich,PRCR,1,1,0
Guinea-Bissau,GW,GNB,GW,Guinea-Bissau,Guinea-Bissau,Africa,LIC,LDC,SIDS,Non DAC,Developing Country,Fragile,1874309,,Western Africa,Non resource-rich,Non PRCR,1,1,0
Guinea Bissau,GW,GNB,GW,Guinea Bissau,Guinea-Bissau,Africa,LIC,LDC,SIDS,Non DAC,Developing Country,Fragile,1874309,,Western Africa,Non resource-rich,Non PRCR,1,1,0
Guyana,GY,GUY,GY,Guyana,Guyana,Latin America and the Caribbean,UMIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,779004,,South America,Resource-rich,Non PRCR,0,0,0
Haiti,HT,HTI,HT,Haiti,Haiti,Latin America and the Caribbean,LIC,LDC,SIDS,Non DAC,Developing Country,Extremely fragile,11123176,,Caribbean,Non resource-rich,Non PRCR,1,0,0
Heard and Mcdonald Islands,HM,HMD,HM,Heard and Mcdonald Islands,,Oceania,,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,,,Australia and New Zealand,Non resource-rich,Non PRCR,0,,
Heard Island and McDonald Islands,HM,HMD,HM,Heard Island and McDonald Islands,,Oceania,,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,,,Australia and New Zealand,Non resource-rich,Non PRCR,0,,
Holy See (Vatican City State),VA,VAT,VA,Holy See (Vatican City State),,Europe,,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,,,Southern Europe,Non resource-rich,Non PRCR,0,,
Holy See,VA,VAT,VA,Holy See,,Europe,,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,,,Southern Europe,Non resource-rich,Non PRCR,0,,
Honduras,HN,HND,HN,Honduras,Honduras,Latin America and the Caribbean,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,9587522,,Central America,Non resource-rich,Non PRCR,0,0,0
Hungary,HU,HUN,HU,Hungary,Hungary,Europe,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,9768785,,Eastern Europe,Non resource-rich,Non PRCR,0,0,1
Iceland,IS,ISL,IS,Iceland,Iceland,Europe,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,353574,,Northern Europe,Non resource-rich,Non PRCR,0,0,1
India,IN,IND,IN,India,India,Asia,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,1352617328,,Southern Asia,Non resource-rich,Non PRCR,0,0,0
Indonesia,ID,IDN,ID,Indonesia,Indonesia,Asia,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,267663435,,South-eastern Asia,Resource-rich,PRCR,0,0,0
Iran,IR,IRN,IR,Iran,Iran,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,81800269,,Southern Asia,Non resource-rich,Non PRCR,0,0,1
"Iran, Islamic Republic of",IR,IRN,IR,"Iran, Islamic Republic of",Iran,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,81800269,,Southern Asia,Non resource-rich,Non PRCR,0,0,1
Iran (Islamic Republic of),IR,IRN,IR,Iran (Islamic Republic of),Iran,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,81800269,,Southern Asia,Non resource-rich,Non PRCR,0,0,1
"Iran, Islamic Rep.",IR,IRN,IR,"Iran, Islamic Rep.",Iran,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,81800269,,Southern Asia,Non resource-rich,Non PRCR,0,0,1
Islamic Republic of Iran,IR,IRN,IR,Islamic Republic of Iran,Iran,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,81800269,,Southern Asia,Non resource-rich,Non PRCR,0,0,1
"Iran, Islamic Rep. of",IR,IRN,IR,"Iran, Islamic Rep. of",Iran,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,81800269,,Southern Asia,Non resource-rich,Non PRCR,0,0,1
"Iran, Islamic Rep of",IR,IRN,IR,"Iran, Islamic Rep of",Iran,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,81800269,,Southern Asia,Non resource-rich,Non PRCR,0,0,1
Islamic Rep. of Iran,IR,IRN,IR,Islamic Rep. of Iran,Iran,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,81800269,,Southern Asia,Non resource-rich,Non PRCR,0,0,1
Iraq,IQ,IRQ,IQ,Iraq,Iraq,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,38433600,,Western Asia,Resource-rich,Non PRCR,0,0,0
Ireland,IE,IRL,IE,Ireland,Ireland,Europe,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,4853506,,Northern Europe,Non resource-rich,Non PRCR,0,0,1
Isle of Man,IM,IMN,IM,Isle of Man,,Europe,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,84077,,Northern Europe,Non resource-rich,Non PRCR,0,,
Israel,IL,ISR,IL,Israel,Israel,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,8883800,,Western Asia,Non resource-rich,Non PRCR,0,0,1
Italy,IT,ITA,IT,Italy,Italy,Europe,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,60431283,,Southern Europe,Non resource-rich,Non PRCR,0,0,1
Jamaica,JM,JAM,JM,Jamaica,Jamaica,Latin America and the Caribbean,UMIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,2934855,,Caribbean,Non resource-rich,Non PRCR,0,0,1
Japan,JP,JPN,JP,Japan,Japan,Asia,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,126529100,FCAS,Eastern Asia,Non resource-rich,Non PRCR,0,0,1
Jersey,JE,JEY,JE,Jersey,,Europe,,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,,,Northern Europe,Non resource-rich,Non PRCR,0,,
Jordan,JO,JOR,JO,Jordan,Jordan,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,9956011,,Western Asia,Non resource-rich,Non PRCR,0,0,1
Kazakhstan,KZ,KAZ,KZ,Kazakhstan,Kazakhstan,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,18276499,,Central Asia,Non resource-rich,Non PRCR,0,0,1
Kenya,KE,KEN,KE,Kenya,Kenya,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,51393010,,Eastern Africa,Non resource-rich,PRCR,0,1,0
Kiribati,KI,KIR,KI,Kiribati,Kiribati,Oceania,LMIC,LDC,SIDS,Non DAC,Developing Country,Not fragile,115847,,Micronesia,Non resource-rich,Non PRCR,0,0,0
Kosovo,XK,XKX,XK,Kosovo,,#N/A,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,1845300,,,Non resource-rich,Non PRCR,0,0,1
Democratic People's Republic of Korea,KP,PRK,KP,Democratic People's Republic of Korea,Democratic People's Republic of Korea,Asia,LIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25549819,,Eastern Asia,Non resource-rich,PRCR,0,,
Korea (North),KP,PRK,KP,Korea (North),Democratic People's Republic of Korea,Asia,LIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25549819,,Eastern Asia,Non resource-rich,PRCR,0,,
North Korea,KP,PRK,KP,North Korea,Democratic People's Republic of Korea,Asia,LIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25549819,,Eastern Asia,Non resource-rich,PRCR,0,,
DPRK,KP,PRK,KP,DPRK,Democratic People's Republic of Korea,Asia,LIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25549819,,Eastern Asia,Non resource-rich,PRCR,0,,
Democratic People's Rep. of Korea,KP,PRK,KP,Democratic People's Rep. of Korea,Democratic People's Republic of Korea,Asia,LIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25549819,,Eastern Asia,Non resource-rich,PRCR,0,,
Dem. People's Republic of Korea,KP,PRK,KP,Dem. People's Republic of Korea,Democratic People's Republic of Korea,Asia,LIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25549819,,Eastern Asia,Non resource-rich,PRCR,0,,
"Korea, Democratic People's Republic of",KP,PRK,KP,"Korea, Democratic People's Republic of",Democratic People's Republic of Korea,Asia,LIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25549819,,Eastern Asia,Non resource-rich,PRCR,0,,
"Korea, Democratic People's Rep. of",KP,PRK,KP,"Korea, Democratic People's Rep. of",Democratic People's Republic of Korea,Asia,LIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25549819,,Eastern Asia,Non resource-rich,PRCR,0,,
"Korea, Dem. People's Rep. of",KP,PRK,KP,"Korea, Dem. People's Rep. of",Democratic People's Republic of Korea,Asia,LIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25549819,,Eastern Asia,Non resource-rich,PRCR,0,,
"Korea, Dem. People's Rep.",KP,PRK,KP,"Korea, Dem. People's Rep.",Democratic People's Republic of Korea,Asia,LIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25549819,,Eastern Asia,Non resource-rich,PRCR,0,,
"Korea, Dem. Rep.",KP,PRK,KP,"Korea, Dem. Rep.",Democratic People's Republic of Korea,Asia,LIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25549819,,Eastern Asia,Non resource-rich,PRCR,0,,
Korea,KR,KOR,KR,Korea,Republic of Korea,Asia,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,51635256,FCAS,Eastern Asia,Non resource-rich,Non PRCR,0,0,1
Korea (South),KR,KOR,KR,Korea (South),Republic of Korea,Asia,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,51635256,FCAS,Eastern Asia,Non resource-rich,Non PRCR,0,0,1
South Korea,KR,KOR,KR,South Korea,Republic of Korea,Asia,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,51635256,FCAS,Eastern Asia,Non resource-rich,Non PRCR,0,0,1
"Korea, Rep.",KR,KOR,KR,"Korea, Rep.",Republic of Korea,Asia,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,51635256,FCAS,Eastern Asia,Non resource-rich,Non PRCR,0,0,1
"Korea, Republic of",KR,KOR,KR,"Korea, Republic of",Republic of Korea,Asia,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,51635256,FCAS,Eastern Asia,Non resource-rich,Non PRCR,0,0,1
Republic of Korea,KR,KOR,KR,Republic of Korea,Republic of Korea,Asia,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,51635256,FCAS,Eastern Asia,Non resource-rich,Non PRCR,0,0,1
Kuwait,KW,KWT,KW,Kuwait,Kuwait,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,4137309,FCAS,Western Asia,Non resource-rich,Non PRCR,0,,
Kyrgyzstan,KG,KGZ,KG,Kyrgyzstan,Kyrgyzstan,Asia,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,6315800,,Central Asia,Non resource-rich,Non PRCR,0,0,0
Kyrgyz Republic,KG,KGZ,KG,Kyrgyz Republic,Kyrgyzstan,Asia,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,6315800,,Central Asia,Non resource-rich,Non PRCR,0,0,0
Lao PDR,LA,LAO,LA,Lao PDR,Lao People's Democratic Republic,Asia,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,7061507,,South-eastern Asia,Resource-rich,Non PRCR,0,0,0
Lao P.D.R.,LA,LAO,LA,Lao P.D.R.,Lao People's Democratic Republic,Asia,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,7061507,,South-eastern Asia,Resource-rich,Non PRCR,0,0,0
Lao People's Democratic Republic,LA,LAO,LA,Lao People's Democratic Republic,Lao People's Democratic Republic,Asia,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,7061507,,South-eastern Asia,Resource-rich,Non PRCR,0,0,0
Lao People's Dem. Rep.,LA,LAO,LA,Lao People's Dem. Rep.,Lao People's Democratic Republic,Asia,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,7061507,,South-eastern Asia,Resource-rich,Non PRCR,0,0,0
Lao,LA,LAO,LA,Lao,Lao People's Democratic Republic,Asia,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,7061507,,South-eastern Asia,Resource-rich,Non PRCR,0,0,0
Laos,LA,LAO,LA,Laos,Lao People's Democratic Republic,Asia,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,7061507,,South-eastern Asia,Resource-rich,Non PRCR,0,0,0
